localidad,latitud,longitud,distancia_centro_km,latitud_centro,longitud_centro,estrellas,valoracion_clientes,n_valoraciones,Parking,Parking_gratis,Gimnasio,Restaurante,Piscina,Piscina_interior,Piscina_infinita,Aire,Calefaccion,Vistas,Terraza,Baño_privado,tamaño_habitacion,dias_restantes,precio,tipo_Hotel,mes_disponible
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,98,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,99,117,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,100,117,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,101,90,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,102,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,103,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,104,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,105,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,106,108,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,107,108,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,108,63,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,109,72,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,110,72,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,111,72,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,112,72,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,113,86,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,114,86,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,115,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,116,72,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,117,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,118,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,119,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,120,72,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,121,72,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,122,54,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,123,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,124,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,125,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,126,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,127,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,128,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,129,54,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,130,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,131,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,132,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,133,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,134,77,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,135,77,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,136,54,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,137,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,138,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,139,68,True,9
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,140,68,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,141,68,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,142,68,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,143,59,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,144,59,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,145,59,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,146,59,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,147,59,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,148,81,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,149,81,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,150,81,True,10
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,180,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,181,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,182,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,183,68,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,184,68,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,185,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,186,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,187,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,188,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,189,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,190,68,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,191,68,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,192,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,193,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,194,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,195,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,196,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,197,68,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,198,68,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,199,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,200,59,True,11
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,201,59,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,202,59,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,203,59,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,204,90,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,205,90,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,206,90,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,207,90,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,208,59,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,209,59,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,210,59,True,12
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,211,68,True,12
